Username Tiktok,Nama,Followers,Likes,Food & Cooking,Fashion,Entertainment,Travel & Accomodation,Beauty,Healthcare,Technology,Automotive,Education,Sports,Finance,Tips & Trick About Career
@dhiarcom,Dhiar,1400000,17700000,0,0,0,0,0,0,1,0,0,0,0,0
@jumadilmusa13,Jumadil Musa,2000000,16800000,0,0,0,0,0,0,0,0,0,1,0,0
@nadineplvn,Nadine,430300,16700000,0,0,0,0,0,0,0,0,0,1,0,0
@buiramira,Ira Mirawati,922700,16600000,0,0,0,0,0,0,0,0,1,0,0,1
@ilhambachtiarr,Ilham Bachtiar,5093000,15800000,0,0,0,0,0,0,1,0,0,0,0,0
@alpa.candy,alpacandy,5422000,15400000,0,0,1,0,0,0,0,0,0,0,0,0
@m0nyetku,,838300,12800000,0,0,1,0,0,0,0,0,0,0,0,0
@zahfirahfiraa_,Fira,459300,12500000,0,1,0,0,0,0,0,0,0,0,0,0
@felicia.tjiasaka,Felicia Putri Tjiasaka,811700,12100000,0,0,0,0,0,0,0,0,0,0,1,0
@skincarebyjessi,Jessica,363100,12000000,0,0,0,0,1,0,0,0,0,0,0,0
@timothyronald22,Timothy Ronald,539900,10800000,0,0,0,0,0,0,0,0,0,0,1,0
@gadgetin,,1200000,10200000,0,0,0,0,0,0,1,0,0,0,0,0
@devvwies,Devina Otaria,176200,8700000,0,0,0,0,0,1,0,0,0,0,0,0
@cannyclau,Canny Claudya,356500,8700000,0,0,0,1,0,0,0,0,0,0,0,0
@akmalriadi,Akmal Riadi,437900,8000000,0,0,0,0,0,0,1,0,0,0,0,0
@tarnandoete,,165700,6800000,1,0,0,1,0,0,0,0,0,0,0,0
@pinkyruslie,Pingky Ruslie,280400,6800000,0,0,0,1,0,0,0,0,0,0,0,0
@aqilasheila,Aqila Sheila,238600,6600000,0,0,0,0,0,0,0,0,1,0,0,1
